"Gender" "Category" "Swim" "Bike" "Run" "Overall"
"122" "M" "PRO" 0.861666672 5.304166656 3.278611104 9.526111104
"123" "M" "35-39" 1.067500008 5.082499992 3.262777776 9.528333336
"124" "M" "50-54" 1.095833328 5.17194444 3.167777784 9.530555544
"125" "M" "18-24" 1.04694444 4.945277784 3.457222224 9.531666672
"126" "M" "25-29" 1.099166664 5.21111112 3.135833328 9.537499992
"127" "F" "PRO" 1.048055544 5.281944456 3.13194444 9.538333344
"128" "M" "35-39" 0.934999992 5.277777768 3.240833328 9.54444444
"129" "M" "40-44" 1.01555556 5.159722224 3.291666672 9.546944448
"130" "M" "35-39" 1.161944448 5.027222232 3.236388888 9.548333328
"131" "M" "40-44" 1.035 5.083888896 3.340277784 9.552499992
"132" "M" "30-34" 0.861388896 5.16138888 3.448888896 9.554166672
"133" "M" "45-49" 1.2225 5.064722232 3.169722216 9.55944444
"134" "M" "35-39" 1.081666656 5.183611104 3.172222224 9.56111112
"135" "M" "30-34" 1.074444456 4.967777784 3.411388896 9.562777776
"136" "M" "40-44" 1.045833336 4.94388888 3.490277784 9.564166656
"137" "M" "35-39" 1.07694444 5.020277784 3.390277776 9.576944448
"138" "M" "30-34" 1.126111104 5.030833344 3.322777776 9.580277784
"139" "M" "25-29" 1.276111104 5.162222232 3.01055556 9.583888896
"140" "M" "35-39" 1.141111104 4.985277768 3.265833336 9.585
"141" "M" "25-29" 0.97361112 5.014166664 3.505833336 9.589166664
"142" "M" "PRO" 1.07555556 5.161944456 3.281388888 9.58944444
"143" "M" "35-39" 1.186111104 5.121666672 3.163888896 9.593055552
"144" "M" "30-34" 0.927222216 5.210277768 3.337222224 9.60444444
"145" "F" "PRO" 0.961944456 5.513055552 3.051666672 9.604999992
"146" "M" "35-39" 1.041666672 4.970555544 3.487777776 9.605555544
"147" "M" "30-34" 1.102777776 5.13888888 3.268055544 9.608055552
"148" "M" "40-44" 0.938055552 5.101111104 3.443055552 9.608055552
"149" "M" "35-39" 1.103611104 5.016944448 3.381944448 9.609444456
"150" "M" "45-49" 1.126944456 5.192777784 3.204722232 9.61055556
"151" "M" "25-29" 1.06638888 5.163611112 3.29555556 9.610833336
"152" "M" "35-39" 1.07861112 4.973333328 3.447222216 9.613055544
"153" "M" "30-34" 1.051944456 5.139722232 3.331666656 9.613888896
"154" "M" "30-34" 1.070833344 4.837222224 3.608333328 9.621388896
"155" "M" "35-39" 0.930277776 5.010277776 3.55638888 9.621666672
"156" "M" "35-39" 1.126111104 5.187499992 3.210277776 9.622222224
"157" "M" "35-39" 1.02138888 5.224722216 3.279722232 9.623333328
"158" "M" "30-34" 1.032777768 4.977777768 3.499166664 9.62555556
"159" "M" "30-34" 1.058611104 5.086111104 3.38555556 9.626388888
"160" "M" "40-44" 1.249166664 4.730555544 3.532222224 9.626666664
"161" "M" "35-39" 1.10861112 5.192777784 3.21305556 9.627222216
"162" "M" "25-29" 1.075277784 5.04138888 3.391666656 9.627777768
"163" "M" "30-34" 1.056666672 5.162500008 3.308611104 9.629166672
"164" "M" "35-39" 1.011388896 5.142499992 3.384166656 9.631944456
"165" "M" "40-44" 1.12944444 5.238611112 3.158611104 9.633611112
"166" "M" "30-34" 1.122222216 5.053333344 3.371388888 9.6375
"167" "F" "PRO" 0.935555544 5.276666664 3.340833336 9.6375
"168" "M" "35-39" 0.948333336 5.161666656 3.436111104 9.639166656
"169" "M" "40-44" 1.086944448 4.838333328 3.629166672 9.644722224
"170" "M" "30-34" 1.119722232 5.099722224 3.310277784 9.64944444
