Reports,Count
01/05/1974,19
01/04/1974,17
01/03/1974,7
01/02/1974,4
01/01/1974,13
01/12/1973,5
01/11/1973,20
01/10/1973,49
01/09/1973,26
01/08/1973,27
01/07/1973,45
01/06/1973,66
01/05/1973,13
01/04/1973,12
01/03/1973,10
01/02/1973,9
01/01/1973,7
01/12/1972,7
01/11/1972,8
01/10/1972,19
01/09/1972,17
01/08/1972,22
01/07/1972,36
01/06/1972,72
01/05/1972,12
01/04/1972,3
01/03/1972,9
01/02/1972,2
01/01/1972,5
01/12/1971,2
01/11/1971,6
01/10/1971,11
01/09/1971,16
01/08/1971,15
01/07/1971,24
01/06/1971,36
01/05/1971,9
01/04/1971,10
01/03/1971,2
01/02/1971,8
01/01/1971,6
01/12/1970,9
01/11/1970,7
01/10/1970,16
01/09/1970,15
01/08/1970,19
01/07/1970,29
01/06/1970,59
01/05/1970,13
01/04/1970,6
01/03/1970,6
01/02/1970,6
01/01/1970,12
01/12/1969,7
01/11/1969,10
01/10/1969,17
01/09/1969,7
01/08/1969,29
01/07/1969,38
01/06/1969,51
01/05/1969,9
01/04/1969,6
01/03/1969,6
01/02/1969,2
01/01/1969,10
01/12/1968,8
01/11/1968,8
01/10/1968,26
01/09/1968,16
01/08/1968,28
01/07/1968,50
01/06/1968,86
01/05/1968,17
01/04/1968,12
01/03/1968,2
01/02/1968,3
01/01/1968,18
01/12/1967,3
01/11/1967,11
01/10/1967,20
01/09/1967,26
01/08/1967,44
01/07/1967,21
01/06/1967,72
01/05/1967,11
01/04/1967,18
01/03/1967,7
01/02/1967,6
01/01/1967,5
01/12/1966,7
01/11/1966,17
01/10/1966,19
01/09/1966,21
01/08/1966,20
01/07/1966,25
01/06/1966,84
01/05/1966,16
01/04/1966,12
01/03/1966,18
01/02/1966,3
01/01/1966,7
01/12/1965,17
01/11/1965,9
01/10/1965,23
01/09/1965,10
01/08/1965,34
01/07/1965,38
01/06/1965,65
01/05/1965,11
01/04/1965,8
01/03/1965,2
01/02/1965,4
01/01/1965,5
01/11/1964,5
01/10/1964,5
01/09/1964,13
01/08/1964,19
01/07/1964,20
01/06/1964,35
01/05/1964,9
01/04/1964,4
01/03/1964,4
01/02/1964,1
01/01/1964,3
01/12/1963,1
01/11/1963,3
01/10/1963,5
01/09/1963,1
01/08/1963,9
01/07/1963,20
01/06/1963,38
01/05/1963,9
01/04/1963,5
01/03/1963,3
01/02/1963,2
01/01/1963,3
01/12/1962,1
01/11/1962,5
01/10/1962,3
01/09/1962,9
01/08/1962,11
01/07/1962,15
01/06/1962,24
01/05/1962,5
01/04/1962,2
01/03/1962,6
01/02/1962,2
01/01/1962,1
01/12/1961,3
01/11/1961,2
01/10/1961,6
01/09/1961,3
01/08/1961,9
01/07/1961,8
01/06/1961,17
01/05/1961,5
01/04/1961,3
01/03/1961,2
01/02/1961,2
01/01/1961,2
01/11/1960,3
01/10/1960,2
01/09/1960,6
01/08/1960,15
01/07/1960,14
01/06/1960,32
01/05/1960,3
01/04/1960,2
01/03/1960,1
01/02/1960,3
01/01/1960,1
01/12/1959,3
01/11/1959,2
01/10/1959,8
01/09/1959,3
01/08/1959,8
01/07/1959,11
01/06/1959,20
01/05/1959,4
01/04/1959,3
01/03/1959,2
01/01/1959,1
01/11/1958,2
01/10/1958,3
01/09/1958,7
01/08/1958,5
01/07/1958,9
01/06/1958,25
01/05/1958,4
01/04/1958,3
01/02/1958,1
01/01/1958,4
01/12/1957,1
01/11/1957,3
01/10/1957,9
01/09/1957,9
01/08/1957,14
01/07/1957,17
01/06/1957,26
01/05/1957,3
01/04/1957,2
01/03/1957,4
01/01/1957,1
01/12/1956,1
01/11/1956,2
01/10/1956,4
01/09/1956,4
01/08/1956,3
01/07/1956,7
01/06/1956,27
01/05/1956,3
01/03/1956,3
01/02/1956,1
01/01/1956,2
01/10/1955,5
01/09/1955,1
01/08/1955,6
01/07/1955,6
01/06/1955,20
01/05/1955,2
01/03/1955,1
01/02/1955,2
01/01/1955,1
01/12/1954,2
01/11/1954,2
01/10/1954,3
01/09/1954,3
01/08/1954,7
01/07/1954,12
01/06/1954,26
01/05/1954,2
01/04/1954,1
01/02/1954,3
01/01/1954,4
01/11/1953,4
01/10/1953,2
01/09/1953,2
01/08/1953,6
01/07/1953,6
01/06/1953,10
01/05/1953,2
01/04/1953,6
01/03/1953,1
01/01/1953,2
01/12/1952,2
01/10/1952,5
01/09/1952,3
01/08/1952,5
01/07/1952,17
01/06/1952,24
01/05/1952,2
01/04/1952,2
01/02/1952,2
01/01/1952,1
01/12/1951,1
01/11/1951,1
01/10/1951,1
01/08/1951,2
01/07/1951,8
01/06/1951,8
01/05/1951,1
01/04/1951,1
01/03/1951,1
01/02/1951,3
01/01/1951,1
01/12/1950,1
01/10/1950,2
01/09/1950,1
01/08/1950,3
01/07/1950,8
01/06/1950,18
01/05/1950,1
01/04/1950,2
01/03/1950,1
01/01/1950,2
01/12/1949,1
01/10/1949,3
01/09/1949,2
01/08/1949,5
01/07/1949,3
01/06/1949,5
01/05/1949,2
01/04/1949,1
01/12/1948,1
01/11/1948,1
01/10/1948,1
01/08/1948,2
01/07/1948,1
01/06/1948,7
01/05/1948,1
01/04/1948,1
01/12/1947,1
01/10/1947,3
01/08/1947,5
01/07/1947,22
01/06/1947,13
01/04/1947,2
01/02/1947,1
01/01/1947,3
01/12/1946,1
01/09/1946,2
01/07/1946,1
01/06/1946,4
01/05/1946,1
01/03/1946,1
01/02/1946,1
01/01/1946,1
01/12/1945,1
01/08/1945,2
01/07/1945,2
01/06/1945,6
01/05/1945,1
01/04/1945,1
01/01/1945,1
01/09/1944,1
01/08/1944,1
01/07/1944,2
01/06/1944,4
01/04/1944,2
01/03/1944,1
01/01/1944,3
01/10/1943,1
01/09/1943,1
01/08/1943,3
01/06/1943,3
01/04/1943,1
01/01/1943,1
01/11/1942,1
01/07/1942,1
01/06/1942,1
01/02/1942,2
01/07/1941,2
01/06/1941,2
01/06/1940,1
01/07/1939,1
01/06/1939,2
01/08/1937,1
01/06/1937,1
01/10/1936,1
01/09/1936,1
01/07/1936,1
01/06/1935,1
01/05/1935,1
01/09/1934,1
01/04/1933,1
01/11/1932,1
01/10/1932,1
01/10/1931,1
01/06/1931,1
01/02/1931,1
01/09/1930,1
01/08/1930,1
01/06/1930,4
01/07/1929,1
01/05/1929,1
01/09/1927,1
01/12/1925,1
01/06/1920,2
01/06/1918,1
01/10/1917,2
01/04/1916,1
01/12/1914,1
01/09/1914,1
01/06/1910,1
01/05/1910,1
01/01/1910,1
01/11/1906,1
01/07/1905,2
01/04/1903,1
1899-12-01,1
1899-06-01,1
1898-06-01,1
1897-04-01,2
1896-06-01,1
1886-10-01,1
1880-12-01,1
1871-06-01,1
1865-06-01,1
1864-05-01,2
1861-03-01,1
1860-08-01,1
1838-06-01,1
1800-04-01,1
1790-06-01,1
1788-05-01,1
1762-12-01,1
1721-04-01,1
1617-08-01,1
1615-07-01,1
1561-04-01,2
1400-06-01,1
NA,270
