age spr agi dri bc sho hei wei apl
11 999 999 999 999 18 -99 -99 3
12 3.54 8.32 11.04 10.21 16 160 46 3
11 3.87 8.48 11.68 16.21 13 145 37 3
11 3.92 9.42 13.26 10.69 20 150 39 3
11 3.62 8.79 11.54 10.09 15 156 46 3
11 999 999 999 999 21 160 40 3
11 3.67 8.8 12.46 10.2 12 158 43.8 3
11 3.47 7.94 11.21 10.86 17 160 44 3
11 999 999 999 999 16 156 42 3
12 3.64 8.4 11.71 11.39 10 155 44 3
12 3.32 7.34 9.58 9.01 10 146 35 3
12 4.09 9.02 12.38 10.14 16 141 38.5 3
11 3.73 8.99 12.19 10.06 18 152 33 3
11 3.26 8.48 12.72 10.03 15 163 47 3
11 3.42 8.62 13.19 10.78 23 150 40 3
11 3.88 9.09 11.69 11.18 15 143 34 3
11 3.54 8.88 11.57 10.28 21 136 32 3
12 999 999 999 999 20 150 38.5 3
11 4.18 8.89 13.3 10.82 20 138 32 3
11 3.98 9.08 13.94 12.81 23 149 42 3
12 3.66 8.68 11.75 11.01 25 152 44 3
11 3.71 8.48 11.14 10.29 18 149 39 3
11 3.87 8.89 14.21 12.72 22 143 37 3
11 3.76 8.55 12.18 11.28 18 160 49.4 3
11 3.59 8.11 10.2 9.93 23 147 36 2
12 3.66 999 16.3 12.9 24 158 45 3
12 3.41 9.9 14.4 10.5 17 142 33 3
11 3.56 10 14.8 13.62 12 139 29 3
11 3.43 999 13.03 10.94 13 142 37 2
12 3.68 999 14.04 11.84 14 140 36 3
12 3.92 9.68 14.2 12.1 25 154 41 3
12 3.57 999 14.9 11.69 25 144 31 3
11 3.49 10 14.8 11.81 23 144 33 3
12 3.64 10 15.7 11 23 138 31 3
11 3.44 8.41 11.34 999 17 150 40 3
11 3.76 8.48 10.96 9.26 17 158 50 3
12 3.54 8.82 11.89 11.89 21 152 41 2
12 3.96 8.92 12.7 10.39 18 148 45 3
11 4.01 9.52 12.88 8.86 19 152 61 3
11 3.69 9.51 12.1 13.82 17 156 42 3
12 3.57 8.13 10.61 12.44 17 155 35 3
11 3.74 8.97 12.76 10.31 11 152 37 3
12 3.62 8.31 12.02 12 19 148 35 3
11 3.57 8.52 11.24 9.47 17 161 41 1
11 3.9 8.88 12.51 12.51 18 150 47 3
11 3.88 8.62 12.72 14 25 143 34 3
11 3.88 8.44 11.78 10.47 14 143 35 3
12 3.71 9.47 13.07 12 20 155 39 3
12 3.58 8.16 10.76 12.34 11 148 42 3
11 3.8 8.6 11.88 13.11 12 152 45 3
